eu_cd;2010;2013;2016
FRFR10;2;3;2
FRFR100;2;2;2
FRFR101A;2;2;2
FRFR101B;2;2;2
FRFR101C;2;2;2
FRFR102;2;2;3
FRFR103;3;2;2
FRFR104;2;2;2
FRFR105;2;3;2
FRFR106A;2;3;2
FRFR106B;3;2;3
FRFR107A;2;3;3
FRFR107B;2;3;2
FRFR108;3;3;3
FRFR109;3;3;3
FRFR110A;3;3;4
FRFR110B;3;2;3
FRFR110C;2;2;2
FRFR111;2;2;2
FRFR112A;1;3;3
FRFR112B;2;2;2
FRFR113;3;4;3
FRFR114;2;3;2
FRFR115;1;2;2
FRFR116;2;2;2
FRFR117;2;2;2
FRFR118;2;3;4
FRFR119A;3;2;3
FRFR119B;3;2;2
FRFR119C;2;3;2
FRFR12;3;3;4
FRFR120A;2;2;2
FRFR120B;2;2;2
FRFR121;1;2;2
FRFR122;3;2;2
FRFR123;3;2;2
FRFR124A;3;3;3
FRFR124B;2;3;3
FRFR125;2;2;1
FRFR126A;2;3;2
FRFR126B;3;3;3
FRFR127;2;1;2
FRFR128A;3;3;2
FRFR128B;3;3;2
FRFR129;3;3;2
FRFR13;2;3;3
FRFR130;5;5;4
FRFR131;2;3;3
FRFR132;5;3;3
FRFR133;1;2;2
FRFR134;3;3;2
FRFR135A;3;3;3
FRFR135B;2;2;2
FRFR136;3;2;3
FRFR137;2;4;3
FRFR138;2;3;3
FRFR139;4;4;3
FRFR14;4;4;4
FRFR140;3;3;3
FRFR141;3;2;3
FRFR142A;3;4;4
FRFR142B;3;3;3
FRFR143;3;2;2
FRFR144;2;2;2
FRFR145A;3;2;2
FRFR145B;2;2;3
FRFR146;2;2;3
FRFR147;3;2;2
FRFR148A;4;2;1
FRFR148B;2;2;2
FRFR149;4;5;4
FRFR15;3;3;3
FRFR150;3;2;2
FRFR151;3;4;3
FRFR152A;4;4;4
FRFR152B;2;2;2
FRFR153;3;4;4
FRFR154;5;5;5
FRFR155;3;3;4
FRFR156;3;2;2
FRFR157A;2;2;2
FRFR157B;2;2;2
FRFR158;5;3;3
FRFR159;2;2;2
FRFR16;3;3;3
FRFR160;2;2;2
FRFR161;3;2;3
FRFR162;2;2;2
FRFR163;3;3;3
FRFR164;5;4;3
FRFR165;3;3;2
FRFR166;5;4;3
FRFR167;3;1;2
FRFR168;2;2;1
FRFR169;2;2;2
FRFR17;2;3;3
FRFR170;3;3;2
FRFR171;2;1;2
FRFR172;2;2;2
FRFR173;2;2;2
FRFR174;2;2;2
FRFR176;2;2;2
FRFR177;2;2;2
FRFR178;2;5;3
FRFR179;2;2;3
FRFR18;3;5;3
FRFR180;2;2;2
FRFR181;2;2;2
FRFR182;2;2;2
FRFR183;3;2;2
FRFR184;2;2;3
FRFR185;2;2;2
FRFR186;2;2;2
FRFR187;3;3;4
FRFR188;3;3;3
FRFR189;3;3;3
FRFR190;2;2;2
FRFR191;2;2;2
FRFR192;2;2;3
FRFR193;2;2;2
FRFR194A;5;3;2
FRFR194B;3;3;3
FRFR195;3;3;3
FRFR196;3;2;3
FRFR197;3;3;3
FRFR198;3;4;4
FRFR199;3;3;3
FRFR19A;3;3;3
FRFR19B;3;3;3
FRFR19C;3;3;3
FRFR1A;5;2;2
FRFR1B;2;3;3
FRFR2;2;2;3
FRFR20;3;3;3
FRFR200;2;3;2
FRFR201;4;3;3
FRFR202;3;3;2
FRFR203;2;3;2
FRFR204;2;3;2
FRFR205;2;4;3
FRFR206;2;2;3
FRFR207;4;3;4
FRFR208;3;3;3
FRFR209;3;3;3
FRFR21;4;3;3
FRFR210A;4;2;3
FRFR210B;3;2;3
FRFR211;5;3;3
FRFR213A;5;2;3
FRFR213B;2;3;3
FRFR214;3;3;3
FRFR215A;5;3;3
FRFR215B;5;2;3
FRFR216;3;4;5
