code_station;y;ECO_2016;ECO_2017;ECO_2018;BIO_2016;BIO_2017;BIO_2018;PC_2016;PC_2017;PC_2018;CHI_2016;CHI_2017;CHI_2018
05000110;6536800;3;3;U;U;U;U;4;4;5;2;2;2
05000112;6532120;3;3;U;U;U;U;4;4;4;2;U;U
05000115;6534580;3;3;U;U;U;U;5;5;5;2;2;2
05000150;6525200;2;2;U;U;U;U;2;2;2;2;2;2
05000220;6558800;3;3;U;U;U;U;4;4;5;5;5;U
05000240;6550390;3;3;U;U;U;U;3;3;3;U;U;U
05000245;6557770;3;4;U;3;4;U;3;3;3;2;2;5
05000246;6558420;4;3;U;4;U;U;3;3;3;U;U;U
05000247;6560140;3;4;U;2;4;U;3;3;3;2;2;2
05000248;6558280;3;3;U;U;U;U;4;5;5;2;2;2
05000249;6554690;5;4;U;5;4;U;4;3;4;2;2;2
05000250;6555670;3;3;U;2;2;U;3;3;3;2;5;2
05000255;6556140;3;3;U;U;U;U;3;3;3;2;2;2
05001500;6546400;3;3;U;U;U;U;5;5;5;5;5;U
05001510;6546160;2;2;U;U;U;U;2;2;2;5;5;U
05001520;6546600;3;3;U;U;U;U;3;3;3;U;U;U
05001525;6547340;3;3;U;U;U;U;4;3;4;U;U;U
05001530;6547410;3;3;U;U;U;U;3;3;3;U;U;U
05001535;6546860;3;2;U;U;U;U;3;2;3;U;U;U
05001565;6550950;3;3;U;U;U;U;3;3;3;U;U;U
05001585;6544340;U;U;U;U;U;U;2;2;2;2;2;2
05001590;6543900;3;2;U;U;U;U;3;2;3;U;U;U
05001600;6539670;2;2;U;2;2;U;2;2;2;2;2;2
05001610;6539510;U;U;U;U;U;U;2;U;U;U;U;U
05001615;6536940;U;4;U;2;4;U;U;U;U;U;U;U
05001800;6531980;3;4;U;3;4;U;3;2;3;2;2;2
05001815;6528550;3;3;U;U;U;U;3;3;3;U;U;U
05001850;6523180;3;3;U;U;U;U;3;4;4;2;2;2
05002350;6545440;3;3;U;U;U;U;5;5;5;U;U;U
05002500;6542730;3;4;U;3;4;U;2;2;2;2;2;2
05002600;6546960;2;2;U;U;U;U;2;2;2;U;U;U
05002610;6548120;4;4;U;4;4;U;3;3;3;2;2;5
05002650;6548560;5;5;U;5;5;U;3;3;3;2;2;2
05002700;6549190;3;3;U;U;U;U;4;5;5;2;2;2
05002800;6552840;5;5;U;5;5;U;3;3;3;2;2;2
05003000;6545630;2;2;U;2;2;U;2;2;2;5;5;U
05003700;6545330;3;3;U;U;U;U;3;3;3;U;U;U
05003750;6545540;2;2;U;U;U;U;2;2;2;U;U;U
05003780;6541780;2;3;U;2;3;U;2;2;3;2;2;U
05003800;6542210;4;4;U;4;4;U;3;3;3;2;2;2
05003900;6544450;3;2;U;2;2;U;3;2;4;U;U;U
05004000;6543150;2;2;U;2;2;U;2;2;2;2;2;5
